AREA,BED,BATH,BUILT,DESCRIPTION,LOTSIZE,PRICE
988.0,3.0,2.0,1954.0,"Clean nice sized Ranch in the East End of Waterbury!!  Home features good sized Living/Dining Room 23 X 13! Home has 3 Bedrooms with 2 Full Baths on the main floor.   Need more bedrooms additional 4th Bedroom downstairs with family room and Full Bath. Perfect for potential IN-LAW apartment.  In addition main floor features Sunroom perfect for those spring and fall days.    ROOF IS BRAND NEW, HOT WATER HEATER ONLY 5 YEARS OLD AND OIL TANK 3 YEARS OLD!!!  Home also features CENTRAL AIR!  All wooden doors in house are brand new.  Home is a must see!!!!",0.13999056640000002,189900.0
1299.0,3.0,2.0,1983.0,"Beautiful Three Bedroom Ranch located in desirable neighborhood of Watertown.  MOST EVERYTHING IN HOME IS LESS THAN TWO YEARS OLD.  This includes the paint, kitchen with stainless steel appliances and granite countertops, bath, stackable washer and dryer, windows, natural gas furnace, outdoor shed, central air, and driveway. OPEN FLOOR PLAN.  This home also includes hardwood floors throughout, 2 Baths, 2 car garage, deck and a fireplace.  Downstairs is nearly finished and can provide two additional rooms or one large one. ONE LEVEL LIVING. THE SELLER IS REQUESTING HIGHEST AND BEST OFFER BY 4/21 AT NOON.",0.3999992832,299900.0
2496.0,6.0,3.0,1963.0,"**Families and Investors take note!!!** Step into a stunning fully renovated ranch in the desirable north end of Bridgeport less than 2 miles from Sacred Heart University. First floor encompasses a huge Eat In Kitchen/Open Dining Room, Granite Counter Tops, Granite Breakfast Bar w/ Stools, Stainless Steel Appliances, and Wine Cooler. Hardwood Floors throughout first level. Large living room with fireplace. Renovated full bath complete with tile and stone. Two spacious bedrooms and a master suite with a renovated half bath. Fresh paint and new trim through out entire top floor. Lower level completely finished in textured tile. THREE additional bonus rooms in lower level. TWO with walk in closets and a large vanity. Huge studio style living room complete with fireplace and wood burning stove. Lower level also has a full bath and kitchenette that can easily be transitioned into a full kitchen if need be. A dry bar was added to the in law set up as well as high end Polk Audio built in surround sound system. Lower level boasts a full walkout to the fully fenced in backyard complete with 6' vinyl. Quaint back yard features brick paved dual level patio, hot tub, and a hammock with tree cover.  Same owner for 15 years has kept home perfect!!!!",0.179981312,315000.0
1210.0,3.0,2.0,1937.0,"Classic cape in quintessential Fairfield neighborhood on the outside with a renovated modern and stylish interior.  Refreshingly open layout. Beautiful hardwoods in every room and painted in designer colors. Totally remodeled kitchen with modern cabinetry, stainless steel appliances, honed granite counter tops, glass subway tile, and large walk in pantry.  Quality lighting and fixtures throughout. Beautifully updated bathrooms. Flat yard, partially fenced in for privacy. One car attached garage with direct access into the house. Natural gas connection done in 2018 with new furnace and hot water tank installed. Newer windows and roof, and plenty of storage. Phenomenal Stratfield location! LIVE on MLS, April 23rd. SHOWINGS BEGIN APRIL 24TH. Masks required.",0.179981312,425000.0
2152.0,5.0,3.0,1996.0,"Built in 1996 this spacious 4 BDRM, 3BA year round home offers unobstructed water views as well as great outdoor living space. The open floor plan, along with 2 large porches~ one off the living room and the other off of the Master bedroom highlight the beautiful sunrises and moon rises on East Shore.  Steps to Kiddie beach where you can spend the day swimming, reading, or exploring the beach for sea glass and shells.  Take your kayak out for a paddle and rinse off in the enclosed outdoor shower when you get home. Great storage in the 2 car garage for your bikes and beach toys.  New furnace.  Enjoy beaches,  boating, tennis and all the wonderful GLP amenities. Call for an appointment today!",0.1299814016,998500.0
2424.0,4.0,3.0,1999.0,"This property is a hidden gem. Beautiful colonial home with 4 bedrooms and 2 1/2 baths surrounded by state forest. The property features a 2 car detached garage, 2 large greenhouses and an out buildings. This property is a beauty you won’t want to miss.",9.99998208,595000.0
1720.0,5.0,3.0,1917.0,"Beautiful and well kept Half Duplex in the Mill Hill section of Bridgeport. This spacious house offers 5 bedrooms and 2 additional rooms in the basement, a Living Room, formal Dining Room, Kitchen, 2 Full Bathrooms & 1/2 Bathroom. New Roof, New Hot Water Heater. Come and enjoy this nearly 3000 square feet of living space.",0.059986118399999996,199900.0
2300.0,4.0,3.0,1969.0,"Welcome home! Meticulously maintained and updated colonial on a beautifully landscaped corner lot with mature plantings. The perfect floor plan offers spaces for gracious entertaining or casual living. The formal living room has hardwood floors, crown moldings, and french doors that lead to the cozy family room with a brick floor to ceiling wood burning fireplace. The sun filled eat in kitchen has abundant cabinet space, quartz countertops and stainless appliances and the laundry area and half bath are conveniently located in the adjacent hallway. A formal dining room with hardwood floors and a bay window provides the perfect setting for holiday meals. Upstairs you will find the master bedroom with a walk in closet and a renovated master bath, three additional spacious bedrooms, and an updated hall bath. Spend your summer nights on the spacious screened porch or the newly installed patio overlooking the backyard. Gas heat, C/A and a two car garage. Convenient to schools, shopping, restaurants and highways. See attachments for floor plans and disclosures. Don't miss this one! *** Highest and best offers to be submitted by end of business day 4/19/2021***",0.8199939392,534900.0
3858.0,5.0,3.0,1990.0,"This beautifully appointed custom designed contemporary has many features. As you enter the front door into a spacious foyer with cathedral ceilings an adjacent sitting room with cathedral ceils and skylights with over sized windows bring in abundant natural light. Adjacent to the oversized stair case leads to the kitchen, dining area and the fireplaced sunken great room. This open floor design includes granite counters, maple cabinets, tiled floors with a custom granite dining room table. The dining area can lead to an oversized deck with an overview of the wooded private back yard. Hardwood floors throughout this lovely home including the entire second floor with 2 full baths and 5 bedrooms. The oversized exquisite Master Bedroom features oversized windows leading to the ensuite that features a Jacuzzi jet tub with cathedral ceilings under two skylights. The ensuite includes a shower stall and immaculate tiles features.",0.9399891328,650000.0
6365.0,6.0,7.0,1979.0,"Stately yet modern masterpiece with park-like grounds & magnificent detail. 6,300+ sf with 6 bedrooms, 7 baths, & 5 fireplaces. Upgrades include interior painted, wood flooring installed in 2nd floor bedrooms and sparkling white kitchen cabinetry with oversized island and newer Stainless Steel appliances. 1,200 sf master suite with vaulted ceiling, huge WIC, spa bath, fireplace & private balcony. 2nd master suite option on main level that opens to the veranda. every room is comfortably sized and versatile in it's use. Many options for home office as well. The enormous kitchen has a sitting area with fireplace as well as a casual dining locale overlooking the grounds. Custom cherry wood library/family room with vaulted ceiling, fireplace & french doors to patio.  Bonus rooms above garage are perfect for au pair, in-law or guests. Enjoy the huge terrace, heated IG pool and spacious pool house that gets tons of sunlight. 3 car attached garage. Fantastic location...only 7 min to train & town. A mere 55 miles to NYC! Truly a one-of-a-kind home",2.8599811008,1999000.0
1926.0,3.0,2.0,1993.0,"Unique 3-4 BR, 2 bath split level contemporary set on a corner lot just outside Pheasant Run subdivision offers spacious eat-in kitchen with center island, wooden beams and vaulted ceilings overlooking living room with fireplace, hardwood floors, family room with 9+ ft ceilings, slider to deck and fenced backyard. Two bedrooms and full bath upstairs, 1-2 bedrooms and a full bath downstairs. Conveniently located to the Subase, Electric Boat & Coast Guard Academy.",0.91999376,299900.0
840.0,2.0,1.0,1962.0,"Charming, country home in excellent condition with a beautiful enclosed porch and a concrete turn-around/parking off of the driveway. Fresh paint, new lighting fixtures, refurbished hardwoods, large yard with a small barn, and a shed. The backyard was just re-mulched for the season. This lovely property will not last long! OPEN HOUSE: SATURDAY, 9AM - NOON, 4-24-21. Open house is the first showing. Being sold, as-is condition",0.49999910399999997,150000.0
2112.0,4.0,3.0,1947.0,"Welcome to this elegant brick cape located in the heart of Wallingford. Generous well-arranged rooms create a convenient open floor plan enhancing the space and making entertaining a joy. The bright and spacious living room features gleaming hardwood floors and a marble fireplace to cozy up to on those cooler crisp evenings. The dining area is spacious and open to the kitchen which includes granite counter tops, stainless steel appliances and a breakfast nook with skylight. A first-floor bedroom and full bath floor offer much sought after convenience. The second floor has 3 additional bedrooms and a bonus room. The side door from the living room leads to a covered side porch overlooking the fenced in backyard where you can enjoy the outdoors and host summertime events. Minutes away from the shopping and entertainment of downtown Wallingford and close to all major highways. Great savings with Wallingford electric.",0.30998567039999997,399000.0
1774.0,3.0,3.0,1890.0,"Your new home awaits in this spacious, COMPLETELY RENOVATED Colonial! Enter into the open concept main living area with eat-in kitchen. This brand new kitchen features granite counters, tile backsplash, stainless steel appliances and a pantry. The main level has an additional living room and a half bath.  Head upstairs where you'll find 3 bedrooms, 2 bathrooms and a conveniently located washer/dryer hookup.  The beautifully renovated primary bedroom features a walk-in closet and a sliding barn door which leads to the primary bathroom with a freestanding tub, large shower, double vanity and LED light fixture with bluetooth speaker. Off the upper level leads to a spacious new deck and private backyard.  ALL NEW... hardwood flooring, windows, doors, framing, insulation, plumbing, electric, boiler, gutters and driveway. Schedule your showing today!",0.9699936704000001,305000.0
1857.0,3.0,3.0,2003.0,"DON’T DELAY!  Amazing opportunity in Powder Mill Village in Canton.  Immaculate, light and bright home looks out from the comfortable and relaxing front porch onto the center green and gazebo. Fabulous open floor plan with gorgeous white kitchen, miles of new quartz countertops in kitchen and powder room, fresh paint, energy efficient natural gas heat, city water and sewer. Just minutes to historic, very cool Collinsville center, hiking and bike trails, kayaking and the Shoppes at the Farmington Valley.  Upstairs you will find a Master Bedroom flooded with natural light from oversized windows, spacious walk-in closet and full bath and an additional two good-sized bedroom and hall bath.  Lower level has a fantastic finished 200 square foot area, the perfect private retreat for game room, man cave or she shed. Nice back deck with privacy views. Enjoy this spectacular neighborhood with beautifully manicured grounds and friendly neighbors. This lovely home can be yours!",0.1199951936,375000.0
3096.0,6.0,3.0,1973.0,"SHOWINGS START WEDNESDAY, 4/21. Weston contemporary home with great open floor plan. Updated with a wonderful expansive deck with access from master suite and living room, great for summer entertaining. Large updated kitchen with center island, fireplace and dining area. Master suite with glass doors to deck, plus two other bedrooms on main level with full bath. The lower level has three guest bedrooms, additional bath and laundry room, plus inviting family room with fireplace & glass doors onto the patio. Lots of space for family or work from home. Great lower Weston location. Conveniently located just minutes away from Weston's award winning schools, town center, athletic fields, Field Club, & Tennis Club. An easy drive to the Westport Trains/Compo Beach.",1.9999964159999999,799000.0
1325.0,2.0,2.0,1947.0,"Make this quintessential 1947 New England Cape Cod your new home! Step through the covered porch into your designer kitchen with European style custom maple cabinets, Cambria® quartz countertops, stainless steel suite of appliances, recessed lighting, crown moulding, and gleaming hardwood floors. Enjoy gourmet dinners in the open concept kitchen/dining area with custom-built ins and banquette. The front to back living room with central fireplace has a French door leading to an oversized deck perfect for entertaining and soaking up the sun. Your new deck overlooks a well-sized flat backyard, with stone firepit and landscaped shed. This beautiful property comes alive in the spring with established Dogwoods, Lilacs and other native perennials. Upstairs, find two large bedrooms with hardwood floors, large custom closets, linen closets, and an updated full bath with jetted tub and marble tile. The home has been lovingly updated - from tilt in windows, and widened driveway, to the front door portico, stamped concrete landings, and hand-stained wood doors.  This home is on public water and sewer, and has generator hook up, and a second working fireplace in the basement. Located in one of Bloomfield’s historic streets, and within walking distance of the town center. Minutes from major interstates, health facilities, award winning golf and dining, and nearby favorites such as Blue Back Square. Put this home at the top of your list, as this unique listing will not last!",0.33999020799999996,199995.0
2709.0,4.0,3.0,1976.0,"Location / Location ~ This spectacular 4 Bedroom Colonial is set on a level picturesque park-like setting. Warm and inviting Family Room features a vaulted ceiling, beams, bay window and a stone fireplace. Beautiful eat-in Kitchen with quality appliances. Amazing Sun Room with a wood vaulted ceiling and skylights leads to the deck. Dining Room and Living Room have wood flooring and bay windows. Large Master Bedroom with a walk-in closet. Three additional generous sized bedrooms. The property is awesome and features front and back sweeping lawns and a stone wall. This rare find is located in ""Meadowood Farm"", a sought after westside New Fairfield neighborhood. Won't last!",1.0299797888,539500.0
1788.0,3.0,2.0,1963.0,"Walk to Branford Beach, near-by Marinas and the center of Town. This ranch home offers one-floor living with a finished basement for additional space. The deck in the back offers rock out croppings and an area for gardening. The home is light and bright with an open floor plan from the living room to the dining area to the kitchen. There is a screened in porch plus the spacious deck. 3-bedrooms and 1.5 baths all on one floor. A one-car garage, shed and stone wall in the front yard. The lower level has two good size rooms and an unfinished area for a workshop & laundry. Location is what it's all about. Be prepared to enjoy this home this summer.",0.3599855808,375000.0
4218.0,4.0,5.0,2019.0,"Nature lovers the opportunity to share access to a rustic path to the river's bank for kayak & canoe adventures. Newer construction (2019) with open kitchen/family room & double french doors to terrace. Unique (2) Master Suite options on first & second levels.  All bedrooms en-suite. High ceilings, spacious rooms, and state-of-the-art building materials for energy efficiency. Potential to finish 1166 Lower Level.",0.28,2375000.0
2277.0,3.0,2.0,1914.0,"GORGEOUS COLONIAL HOME FEATURING 3 BEDROOMS WITH PRIVATE BACK YARD. INTERIOR HAS AN OPEN FLOOR PLAN WITH FLOWING ROOMS, COMPLETELY RENOVATED WITH NEW HARDWOOD/TILE FLOORS THROUGHOUT, NEW APPLIANCES, and RENOVATED BATHROOMS, CABINETS. FULL BASEMENT.MOVE IN NOW.",0.16999510399999998,239900.0
2043.0,4.0,3.0,1924.0,"Excellent opportunity live in North-End of Bridgeport. Beautifully updated cape has a lot to offer. Custom cabinets with custom stone work can be seen through out the kitchen and in-law apartment. Upper level has 2 bedrooms and a full bath. Easy access to laundry on main level.  Main floor has 1 bedroom and large living room with full bathroom. In-law in basement has a full kitchen, 1 bedroom, living room and a full bathroom. Stainless steel appliances. Wet bar. Make an offer on this house before it's gone!",0.10998602880000001,319900.0
1656.0,3.0,2.0,1958.0,"Adorable 3 bedroom, 1.5 bath split level in desirable neighborhood. Open layout with vaulted ceilings on the first floor and hardwood flooring throughout the entire house. Formal dining room with gas fireplace.  Bright, updated kitchen that opens to spacious family room with glass-sliders into screened-in porch.  Lower level has been finished off with access to garage and laundry room set up.  Upper level includes 3 bedrooms with 1.5 renovated bathrooms.  Home is move in ready and has been completely undated.  Nice private large level yard.  Newer roof and mechanicals.  Plus, WALLINGFORD ELECTRIC, central air and public sewer!!",0.4899899392,325000.0
1932.0,4.0,2.0,2002.0,"Must see raised ranch with finished basement and back yard made for entertaining! The open kitchen and living area makes the space great for company.  Down the hall, the Master bedroom has 2 closets (1 is a walk-in), 2 more bedrooms and a full bathroom.  A fourth bedroom has been added in the finished basement along with a family room, full bathroom, plenty of shelving, partial kitchenette and a small office area.  Outside is perfect for entertaining with an above-ground, solar heated, salt water pool, a bar, fire pit, and a stone and concrete walk way with river rock.  You do not want to miss this one!",0.43999002880000004,290000.0
2226.0,6.0,2.0,1955.0,"Stately center hall colonial on 1.12 acres in Southington's Plantsville neighborhood. Plenty of room for the family with an open concept updated kitchen living area offering a full bath and office which could be used as a first floor bedroom. Large trek style deck off the back is accessible from the kitchen or the all season sunroom/den overlooking large back yard. The second floor has five generous bedrooms and a full bath. Hardwood throughout with many upgrades including new roof, siding, window, boiler and water heater. Close to everything and just 25 miles to New Haven and 22 miles to Hartford. Showings to begin 4/29/2021",1.1199934016,369900.0
1856.0,2.0,2.0,1978.0,"Home With A Heart - Dreaming of Your Own Home ?   Make Your Dreams Come True with this Lovely Raised Ranch with Living Room, Eat in Kitchen, 2 Bedrooms, Possible 3rd Bedroom Lower Level, 2 Full Baths, Large Family Room with Fireplace, Hardwood Floors, Spacious Backyard for Perfect Outdoor Enjoyment. We are Excited to Offer This Home and Eager to Find a Perfect Match !!!",0.6499988352,215000.0
1104.0,3.0,1.0,1960.0,"Come and enjoy the peace and quiet of this neighborhood on this side of town. With this beautiful ranch renovated three bedrooms house, one bath, and fenced-in level backyard, you must come and see it for yourself! Solar panels lease ($98/month balance remaining to be assumed by buyer).  Solar panels can transfer. Well-located near I-95, route 8/25 and Merritt Parkway, bus routes, train station. Home is convenient to shopping, dining, medical and recreation. Train station is approx. 10 minutes away ... make it your home!!! One Bac Due & Payable Upon Passing of Title.",0.16999510399999998,279900.0
1040.0,3.0,2.0,1955.0,"Cute as a button!!  Adorable 5 room, 3 bedroom, 1.5 Bath Split-Level Home on lovely .30 acre lot.  Hardwood under the carpeting in the Living Room. Kitchen with eating area and tile floor. Three well-appointed bedrooms, all with Hardwood floors.  One car attached garage. NATURAL HOT AIR GAS HEAT, CENTRAL AIR, VINYL SIDING!!  Most windows replaced.  Lovely rear yard with a patio for barbeques, entertaining or just relaxing.  Whether you are looking to downsize or buying your first home....come take a look!  You will start packing your bags now!!",0.29999946239999997,215000.0
2203.0,4.0,3.0,1930.0,"English style brick tudor home. This 1930's home will steal your heart with all of it's charm. Superior craftsmanship throughout includes arched doorways, slate roof, wood beams, and a sunroom made of wood and brick.  4 Bedrooms(one 1st floor used as a den) 3 full baths. Two garages  one under home with 2 spaces and the other is a 2 car detached oversized heated garage. Many perennials and a beautiful stone patio complete with  in-ground pool!! Last owners had a lift in detached garage.",0.3499993728,339000.0
1680.0,4.0,2.0,1958.0,This is the one you have been waiting for! This 4 bed 2 full bath ranch with central air and large yard is stunning.  All updates were done in the past few years and is like new construction. Upstairs you have a beautiful sunroom/mudroom that walks into the bright white kitchen. The open floor plan gives you a grand feel.  Three additional bedrooms are located upstairs as well as a full bath.  Downstairs is the perfect retreat set up as a Master suite or inlaw.  It includes a huge walk in closet and beautifully done full bath.  Don't forget to check out the video tour!,0.30998567039999997,284999.0
862.0,2.0,1.0,1948.0,"Don't miss out on the opportunity to own your own home in Branford at such an affordable price! Come and Enjoy the Benefits of Small Home Living! Good things do come in small packages, as you will find in this charming, remodeled and updated home. This two bedroom cape is perfect for a weekend/summer getaway or year round residence for those who love being close to Long Island Sound! Lot features a large shed for exterior storage, off street parking with newly built out driveway space, and a cleared lot for plenty of outdoor entertaining. If you are a minimalist at heart, someone who enjoys nature, or simply someone who wants to stop paying rent or condo fees, 12 Clarendon may be the perfect home for you. Main level with brand new eat in kitchen with granite counters, new cabinetry and stainless steel appliances. Off this space is a fabulous bonus room with wood stove, perfect for a dining room or rec room. This space is surrounded in windows overlooking the yard and has a side entry and exit to the yard. There is a good sized living room, along with laundry set up (stackable) and full bathroom to finish off main level. The bathroom was gutted and enlarged, now featuring a tub, vanity, toilet, and custom tile work. The 2nd floor has 2 bedrooms and the ceilings were partially vaulted allowing more ceiling height. Newer roof, city water, city sewers, natural gas heat and more! There is even a partial basement for storage.",0.1999996416,235000.0
1480.0,3.0,2.0,1972.0,"Great house on 0.84 acre level lot with city water, city sewer.  Large raised ranch, large eat-in kitchen with tile floor measuring 17x11 with sliders to a 12x14 deck.  Large living room 20x13 with fireplace and hardwood floors.  Family room 14x19 with tiled floors offering sliders to back yard.  Master bedroom has half bath and hardwood floors 12x13.  Other 2 bedrooms are 11x13 with hardwood floors.  Solar panels on back of house leased.  Lower level has fireplace and parquet flooring (not included in square footage).  This is a lot of house being sold AS IS.  Pool table to stay.",0.839989312,224900.0
1540.0,3.0,1.0,1997.0,"Nicely maintained and move-in ready 3 Bedroom Ranch offering serenity and tranquility on 3.67 acres conveniently located between Interstates 95 and 395. Open floor plan boasting hardwoods throughout, updated granite kitchen with cathedrals, updated bathroom, partially finished walk-out basement with two sets of french doors opening to spacious yard abutting the privacy of Pauchaug State Forest. Make this lovely house your new home today!",3.669988832,250000.0
896.0,3.0,1.0,1950.0,"Charming ranch style home. This home offers 3 bedrooms, 1 full bath, large kitchen/dining room, spacious living room and a walkout basement. This property is perfect for downsizing or for investors looking for a great location for University rental. There is a large newer deck great for summer enjoyment. The property also includes an extra storage shed and chicken coop. Conveniently located with easy access to highway, Uconn and Storrs Center.",1.6999969536000001,179900.0
2340.0,3.0,2.0,2001.0,"Charming 3 bedroom colonial with a bonus room for that home office, kitchen with island and new granite countertops, both bathrooms been totally renovated, private fenced backyard, enjoy the coziness this ready to move in home has to offer. Close to all things Danbury and easy access to I84 exit 8.",0.3999992832,495000.0
4024.0,5.0,5.0,2007.0,"Turn-key gem 1 1/2 hours from Manhattan!! Private, yet not secluded. Gorgeous 5 bedroom, 4 1/2 bath custom designed home with brand new fully equipped inlaw apartment on very tranquil 1.09 acre setting. This very special property is surrounded by 350 acres of Open Space and Flanders Nature Preserve. Backyard access to original logging trails which have been preserved for nature walks among hardwoods, mountain laurel, old stone outcroppings.    With only one owner to date the luxurious Energy Star home boasts 4,024 sq. ft. of of living area featuring hand-crafted millwork and specialty finishes. It showcases a custom cabinetry, crown moldings, 7 1/2 inch baseboards, white oak flooring, handcrafted wainscoting, enormous kitchen island, central vacuum, 3-zone heating system, triple stage water filtration system, and 575 sq. ft. mahogany wrap-around deck facing ""forever"" wilderness.      Well-thought-out floor plan highlights: lovely great room with 12 ft. coffered ceiling and fireplace with native-stone surround; first-floor master bedroom suite; huge chef's kitchen with eat-in area; formal dining room with bay window; private, ensuite guest quarters; two Jack and Jill bedrooms. additional den space; home office; large mudroom; two inviting fireplaces -- and much, much more.   Not enough?  Two large unfinished areas offer expansion possibilities!!",1.0899888640000002,979900.0
